Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
2.88,uw61891152,113.5903229,yes,TRUE,no,both
2.7,us6000ja7y,599.93577,yes,FALSE,no,neither
2.9,us6000ja7t,601.710486,yes,FALSE,no,neither
2.75,uw61898611,124.646945,yes,TRUE,no,both
2.91,uw61898541,121.801425,yes,TRUE,no,both
2.95,uw61876107,178.5321,yes,TRUE,no,sea
2.9,us6000infa,596.5551,yes,FALSE,no,neiher
2.9,us6000i8av,599.6089165,none,FALSE,no,neither
2.7,us6000i80c,526.5222342,none,FALSE,no,neither
2.84,uw61856377,248.1119,none,FALSE,no,neither
2.95,uw61846212,78.62399,yes,norecord,no,none
2.92,uw61844657,161.00184,yes,norecord,no,none
2.81,uw61850651,79.24398,yes,norecord,no,none
2.7,uw61835187,277.0798,yes,FALSE,no,none
2.7,us7000hcbz,603.19457,no,FALSE,no,none
2.8,us6000hmwy,602.20606,yes,TRUE,no,land
2.77,uw61828387,282.6653,none,norecord,no,none
2.89,uw61819867,92.9805166,none,TRUE,no,both
2.8,us7000gz4k,602.21445,yes,FALSE,no,neither
