Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
5.2,tx2022yplg,2418.909404,,FALSE,,
5.3,us6000j5n4,1024.500265,,TRUE,,
6.2,us7000irjd,1938.76693,,FALSE,,
5.4,tx2022wmmd,2360.922511,,TRUE,TRUE,
6.1,us7000imgl,2331.073665,,norecord,,
6,us7000ilwt,2023.744702,,TRUE,,
5.06,nc73799091,1149.95326,,FALSE,,
5,ak022ci7x3po,1856.220917,,FALSE,,
5.4,us6000inv3,2485.446458,,FALSE,,
5.2,us6000i8nr,2404.245676,,FALSE,,
5.1,us7000hiar,2082.519864,,norecord,,
5.1,us7000hial,2077.449728,,norecord,,
5.2,us7000hiaj,2084.99346,,norecord,,
