Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
7,us7000j2yw,9847.3789,,TRUE,,
6.8,  us6000j6w8,8602.435988,,FALSE,,
7,  us7000irfb,9931.060985,,TRUE,,
6.9,  us7000iqpn,13749.12318,,FALSE,,
7,    us7000ip8h,9354.894364,,TRUE,,
7.3,   us7000ip0l,8924.818898,,TRUE,,
7,  us7000ingi,10091.95959,,FALSE,,
6.8, us7000ingh,10088.32497,,FALSE,,
6.7,  us6000iv6c,5817.635985,,norecord,,
6.8,   us7000ia36,3704.798962,,TRUE,,
7.6,us7000i9bw,3685.381568,,TRUE,,
6.9,    us7000i90q,9926.674051,,TRUE,,
7,  us7000i7ya,10157.09921,,TRUE,,
7.6,   us6000iitd,10611.82265,,TRUE,,
6.9,   us7000i53f,10879.49447,,FALSE,,
7,    us6000i5rd,10455.92319,,FALSE,,
6.8,   us6000i1wg,7820.799757,,norecord,,
7.2,    us7000hcmn,8638.937015,,norecord,,
6.9,   us6000hm9j,13475.95302,,FALSE,,
6.8,   us7000h8g3,9642.977968,,TRUE,,
7,   us7000gymk,10270.84687,,FALSE,,
6.9,   us7000gyj0,10278.31419,,FALSE,,
6.7,    us6000h6nr,9888.408282,,TRUE,,
6.7,  us6000h6ne,8305.173804,,FALSE,,
