Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
1.64,   uw61901506,47.502713730359474,,FALSE,,
1.55, uw61901421,40.381815756521405,,TRUE,,
1.54,  uw61901381,35.989439286703735,,FALSE,,
1.42,   uw61901286,50.86747280761703,,FALSE,,
1.43, uw61900971,75.11052326196818,,FALSE,,
1.63, uw61900591,50.759662882482225,,FALSE,,
1.66,   uw61900296,52.76372016755304,,FALSE,,
1.44,   uw61900216,52.346416566498334,,FALSE,,
1.54,  uw61891132,95.88651546376812,,FALSE,,
1.61,   uw61890822,99.05147931,,FALSE,,
1.58, uw61890797,98.34534773,,FALSE,,
1.58,   uw61890702,25.83132026,,FALSE,,
1.57,  uw61898681,55.75177094,,FALSE,,
1.59,   uw61898286,24.12774096,,TRUE,,
1.66,  uw61897806,36.58710676,,FALSE,,
1.4,  uw61896881,24.70063929,,norecord,,
1.55,  uw61886697,98.27557593,,FALSE,,
1.52, uw61886687,97.82581031,,FALSE,,
1.61, uw61885872,41.71131624,,FALSE,,
1.44,   uw61893901,79.22086633,,FALSE,,
1.64,   uw61893741,32.52206505,,FALSE,,
1.5,   uw61893561,46.93645351,,FALSE,,
1.54, uw61893451,32.29360913,,FALSE,,
1.68, uw61892316,93.92713046,,FALSE,,
1.58, uw61890876,86.26408775,,FALSE,,
1.69,   uw61890091,78.34355307,,TRUE,,
1.43,  uw61889401,42.73839983,,FALSE,,
1.41,   uw61878407,11.29970076,,FALSE,,
1.4, uw61877917,44.19969527,,FALSE,,
1.64,  uw61875952,88.33477919,,FALSE,,
1.54,uw61884291,31.39925479,,FALSE,,
1.56,  uw61875077,37.95612508,,FALSE,,
1.59,  uw61875042,62.64200631,,FALSE,,
1.61,  uw61874622,15.98639136,,FALSE,,
1.53,  uw61880481,45.48056474,,FALSE,,
1.43, uw61880076,43.58044413,,FALSE,,
1.55,   uw61879951,61.22161828,,FALSE,,
1.49,    uw61879671,17.06813589,,FALSE,,
1.5,   uw61879446,39.0983309,,FALSE,,
1.66, uw61878861,83.68932731,,FALSE,,
1.54,  uw61869672,39.76496745,,FALSE,,
1.42,   uw61876666,53.52282185,,FALSE,,
1.41,  uw61876641,53.52052709,,FALSE,,
1.53,  uw61876256,81.47766987,,FALSE,,
1.51,   uw61864637,71.75031922,,norecord,,
1.4,  uw61864627,12.88315203,,norecord,,
1.67,  uw61862727,40.86890657,,FALSE,,
1.64, uw61862117,69.57030277,,FALSE,,
1.58,  uw61859622,98.30513579,,FALSE,,
1.44,  uw61867701,38.80406109,,FALSE,,
1.55,  uw61866706,95.98508695,,FALSE,,
1.53,   uw61856622,54.5978968,,FALSE,,
1.44,   uw61856282,53.15062159,,FALSE,,
1.47,   uw61863401,44.53315279,,FALSE,,
1.66,   uw61862886,94.04445785,,FALSE,,
1.53,   uw61862591,78.07161508,,FALSE,,
1.53,    uw61851377,34.63666963,,norecord,,
1.49,  uw61850647,97.24062322,,norecord,,
1.47,   uw61849787,97.43546242,,norecord,,
1.67,   uw61847987,62.48267342,,norecord,,
1.52,uw61845207,43.0601934,,norecord,,
1.46,  uw61844597,24.56442891,,norecord,,
1.49,   uw61844542,98.55248538,,norecord,,
1.52,  uw61851361,77.95962872,,norecord,,
1.48,   uw61850276,40.51048511,,norecord,,
1.56,  uw61848411,59.6887637,,norecord,,
1.45,   uw61848076,79.6266213,,norecord,,
1.43,  uw61847381,14.85860703,,FALSE,,
1.68,   uw61837027,10.88078387,,FALSE,,
1.64, uw61836327,58.93675711,,norecord,,
1.44,   uw61835747,47.45461748,,norecord,,
1.63,   uw61833832,41.84752095,,FALSE,,
1.53,uw61832142,78.49594389,,FALSE,,
1.59,  uw61831817,44.93901349,,,,
1.42,  uw61829667,98.39738764,,norecord,,
1.52,   uw61834436,100.6198541,,norecord,,
1.46,  uw61833821,29.77322525,,norecord,,
1.46,   uw61833671,98.753179,,norecord,,
1.63,    uw61824027,17.99638035,,FALSE,,
1.62,   uw61823317,98.58724172,,FALSE,,
1.48,   uw61830741,27.27102425,,norecord,,
1.66,  uw61820377,35.58489136,,FALSE,,
1.41,  uw61826886,72.85364782,,FALSE,,
1.52,   uw61817092,30.69826935,,FALSE,,
