Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels
5.6,us6000j9es,4965.5798274532335,,FALSE,,
6.3,us6000j985,4174.163508614526,,TRUE,TRUE,
6.0,us6000j8lp,3921.869559726767,,TRUE,,
5.9,us7000isuh,7075.636368131813,,FALSE,,
6.2,us7000irjd,1938.7669303182943,,FALSE,,
6.1,us7000ipkm,8015.651749644429,,INCONCLUSIVE,TRUE,
5.8,us7000ip7p,4715.071866328949,,INCONCLUSIVE,,
6.1,us7000imgl,2331.073665195166,,norecord,,
5.7,us7000imeu,4883.712049046939,,norecord,,
6.0,us7000ilwt,2023.7447022768733,,TRUE,,
5.6,us7000ilgs,7123.06854631738,,FALSE,,
6.7,us6000iv6c,5817.635984739482,,FALSE,,
6.3,us6000iu4b,5833.003597364734,,INCONCLUSIVE,,
5.8,us6000ir0b,7101.230697904327,,FALSE,,
5.7,us6000iq9e,2932.4473543540294,,FALSE,,
6.0,us6000ipva,5781.446832120389,,FALSE,,
5.8,us6000ipdh,5803.871751178098,,FALSE,,
5.8,us7000ib26,5780.473922163561,,FALSE,,
6.8,us7000ia36,3704.798962066889,,INCONCLUSIVE,,
6.0,us7000i9l5,4799.092845880651,,FALSE,,
5.8,us7000i9hm,3667.6775753014304,,FALSE,,
7.6,us7000i9bw,3685.381567701018,,TRUE,,
5.6,us6000ibi3,7776.409246334898,,norecord,,
5.9,us6000i8vz,6584.237745385987,,INCONCLUSIVE,,
5.7,us6000i7xr,7765.771533431631,,FALSE,,
5.6,us6000i6pa,5322.313047818272,,FALSE,,
5.7,us7000htbb,6740.3645642538595,,FALSE,,
5.9,us6000i3hy,5588.564836057505,,FALSE,,
5.6,us6000i3bs,7805.0766050526145,,FALSE,,
5.7,us6000i2j3,6878.841187016246,,FALSE,,
5.6,us6000i1xv,7809.338591474674,,norecord,,
5.6,us6000i1wq,7788.3680169219415,,norecord,,
6.8,us6000i1wg,7820.799756720224,,norecord,,
5.9,us6000hzas,6803.032938007475,,norecord,,
5.8,us7000hjsm,7742.685948313044,,norecord,,
6.3,us7000hf1u,4180.561002494668,,INCONCLUSIVE,,
6.0,us6000hn4d,7792.623964654941,,FALSE,,
5.8,us6000hmv1,5094.883290840482,,FALSE,,
5.7,us6000hlxv,4183.98446433875,,FALSE,,
5.6,us6000hlxg,7781.677150717669,,FALSE,,
5.6,us7000h5t8,6019.151400782566,,norecord,,
5.6,us6000hfyj,6128.533346628334,,norecord,,
6.6,us6000hf75,5183.086144805515,,INCONCLUSIVE,,
5.7,us7000h0x9,4181.059974373789,,FALSE,,
5.80,us7000gxlu,6612.515382,,FALSE,,
