Magnitud,id_event,Location,detect_seismO,detect_das,clipped,channels,PGA,PGM,PGV
5.35,nc73827571,815.8239223,,TRUE,TRUE,,8.61E-05,3.35E-07,3.82E-06
4.92,nc73821046,806.3864283480767,,TRUE,TRUE,,2.33E-05,3.67E-08,5.36E-07
4.9,us6000j8c6,877.2036005618758,,FALSE,FALSE,,8.15E-06,1.05E-08,1.47E-07
5.2,us7000irbr,606.8081050453914,,TRUE,TRUE,,1.00E-04,2.14E-07,3.43E-06
5.6,us7000hhik,695.3034766517399,,norecord,FALSE,,norecord,norecord,norecord
5.1,us7000hf29,790.1172363360504,,TRUE,FALSE,,7.11E-06,2.24E-08,2.47E-07
5.3,us6000hfx7,623.5308648871378,,norecord,FALSE,,norecord,norecord,norecord
5.1,us7000gxl1,677.9990498,,TRUE,FALSE,,7.87E-05,1.29E-07,2.13E-06
6.4,nc73821036,809.8546474,,TRUE,TRUE,,2.83E-04,1.80E-06,1.85E-05
6.3,us6000j985,4174.163508614526,,TRUE,TRUE,,1.09E-05,4.91E-08,6.75E-07
6.3,us7000hf1u,4180.561002494668,,TRUE,FALSE,,1.86E-05,1.01E-07,1.36E-06
