Magnitud,id_event,Location,detect_das,clipped,PGA_PRIN,PGA_SALO,PGA_CHIMA,PGV_PRIN,PGV_SALO,PGV_CHIMA
5.35,nc73827571,815.8239223,TRUE,      TRUE,1.47E-04,3.82E-05,1.23E-04,5.07E-06,1.31E-06,2.02E-06
4.92,nc73821046,806.3864283480767,TRUE,TRUE,2.71E-05,1.06E-05,0.0001013013678,1.03E-06,3.54E-07,1.85E-06
4.9,us6000j8c6,877.2036005618758,FALSE,FALSE,1.50E-04,2.06E-05,0.0002982176923,2.59E-06,6.73E-07,5.81E-06
5.2,us7000irbr,606.8081050453914,TRUE,TRUE,1.80E-04,4.44E-05,0.0004884158366,5.03E-06,2.47E-06,7.02E-06
5.1,us7000hf29,790.1172363360504,TRUE,FALSE,8.16E-04,2.05E-05,0.0003597719975,1.17E-05,5.94E-07,5.87E-06
4.9,us7000ishe,,TRUE,FALSE,0.0009867045128,0.0003344035247,0.0005618204363,4.14E-05,2.03E-05,3.70E-05
5.1,us7000gxl1,677.9990498,TRUE,FALSE,2.06E-04,1.47E-04,0.0001052455264,8.29E-06,6.94E-06,3.01E-06
6.4,nc73821036,809.8546474,TRUE,TRUE,2.37E-04,8.17E-05,8.92E-05,1.19E-05,4.42E-06,4.25E-06
2.76,nc73821066,,TRUE,TRUE,2.39E-05,5.63E-06,1.01E-04,6.06E-07,3.17E-07,1.85E-06
5.3,us6000j5n4,,TRUE,FALSE,2.20E-04,3.09E-05,1.57E-04,4.28E-06,2.58E-06,4.73E-06
