Magnitud,id_event,Location,detect_seismO,detect_das,clipped
1.64,   uw61901506,47.50271373,,FALSE,FALSE
1.55, uw61901421,40.38181576,,TRUE,FALSE
1.54,  uw61901381,35.98943929,,FALSE,FALSE
1.42,   uw61901286,50.86747281,,FALSE,FALSE
1.43, uw61900971,75.11052326,,FALSE,FALSE
1.63, uw61900591,50.75966288,,FALSE,FALSE
1.66,   uw61900296,52.76372017,,FALSE,FALSE
1.44,   uw61900216,52.34641657,,FALSE,FALSE
1.54,  uw61891132,95.88651546,,FALSE,FALSE
1.61,   uw61890822,99.05147931,,FALSE,FALSE
1.58, uw61890797,98.34534773,,FALSE,FALSE
1.58,   uw61890702,25.83132026,,FALSE,FALSE
1.57,  uw61898681,55.75177094,,FALSE,FALSE
1.59,   uw61898286,24.12774096,,TRUE,FALSE
1.66,  uw61897806,36.58710676,,FALSE,FALSE
1.4,  uw61896881,24.70063929,,norecord,FALSE
1.55,  uw61886697,98.27557593,,FALSE,FALSE
1.52, uw61886687,97.82581031,,FALSE,FALSE
1.61, uw61885872,41.71131624,,FALSE,FALSE
1.44,   uw61893901,79.22086633,,FALSE,FALSE
1.64,   uw61893741,32.52206505,,FALSE,FALSE
1.5,   uw61893561,46.93645351,,FALSE,FALSE
1.54, uw61893451,32.29360913,,FALSE,FALSE
1.68, uw61892316,93.92713046,,FALSE,FALSE
1.58, uw61890876,86.26408775,,FALSE,FALSE
1.69,   uw61890091,78.34355307,,TRUE,FALSE
1.43,  uw61889401,42.73839983,,FALSE,FALSE
1.41,   uw61878407,11.29970076,,FALSE,FALSE
1.4, uw61877917,44.19969527,,FALSE,FALSE
1.64,  uw61875952,88.33477919,,FALSE,FALSE
1.54,uw61884291,31.39925479,,FALSE,FALSE
1.56,  uw61875077,37.95612508,,FALSE,FALSE
1.59,  uw61875042,62.64200631,,FALSE,FALSE
1.61,  uw61874622,15.98639136,,FALSE,FALSE
1.53,  uw61880481,45.48056474,,FALSE,FALSE
1.43, uw61880076,43.58044413,,FALSE,FALSE
1.55,   uw61879951,61.22161828,,FALSE,FALSE
1.49,    uw61879671,17.06813589,,FALSE,FALSE
1.5,   uw61879446,39.0983309,,FALSE,FALSE
1.66, uw61878861,83.68932731,,FALSE,FALSE
