Magnitud,id_event,Location,detect_seismO,detect_das,Clipped
5.35,nc73827571,815.8239222670114,,TRUE,FALSE
4.92,nc73821046,806.3864283480767,,TRUE,TRUE
6.4,nc73821036,809.8546473717472,,TRUE,TRUE
4.9,us6000j8c6,877.2036005618758,,FALSE,FALSE
4.9,us7000ishe,332.6787252902081,,TRUE,FALSE
5.2,us7000irbr,606.8081050453914,,TRUE,TRUE
5.6,us7000hhik,695.3034766517399,,norecord,FALSE
5.1,us7000hf29,790.1172363360504,,TRUE,FALSE
5.3,us6000hfx7,623.5308648871378,,norecord,FALSE
5.1,us7000gxl1,677.9990498,TRUE,FALSE
